5
C1 I true
C2 I true
C3 C1 true
C4 I true
C5 I true
2
T2X1 false 1A 2A 
T2X2 false 2A 3A 
50
  1          1        10 V       1001        11 
  2          2        12 W       1002        12 
  3          3        13 X       1003        13 
  4          4        14 Y       1004        14 
  5          5        15 Z       1005        15 
  6          6        16 W       1006        16 
  7          7        17 X       1007        17 
  8          8        18 Y       1008        18 
  9          9        19 Z       1009        19 
 10         10        10 Z       1010        20 
 11         11        21 Y       1011        21 
 12         12        22 X       1012        22 
 13         13        23 W       1013        23 
 14         14        24 V       1014        24 
 15         15        25 V       1015        25 
 16         16        26 W       1016        26 
 17         17        27 X       1017        27 
 18         18        28 Y       1018        28 
 19         19        29 Z       1019        29 
 20         20        20 Z       1020        20 
 21         21        11 Y       1021        11 
 22         22        11 X       1022        12 
 23         23        14 V       1023        13 
 24         24        16 W       1024        14 
 25         25        10 V       1025        15 
 26         26        16 W       1010        16 
 27         27        12 X       1021        17 
 28         28        13 Y       1001        18 
 29         29        13 Z       1001        19 
 30         30        18 Z       1001        10 
 31         31        19 Y       1005        11 
 32         32        17 X       1005        12 
 33         33        19 W       1004        13 
 34         34        18 V       1011        14 
 35         35        17 V       1016        15 
 36         36        16 W       1017        16 
 37         37        12 X       1021        17 
 38         38        14 Y       1012        18 
 39         39        10 Z       1019        19 
 40         40        18 V       1004        20 
 41         41        16 W       1008        11 
 42         42        17 X       1009        12 
 43         43        18 Y       1016        13 
 44         44        19 Z       1018        14 
 45         45        10 Z       1014        15 
 46         46        10 Y       1025        16 
 47         47        12 X       1024        17 
 48         48        17 W       1023        18 
 49         49        10 V       1010        19 
 50         50        11 V       1002        10 
STATS TABCARD 50
STATS COLCARD 0 50 9 1
STATS COLCARD 1 20 29 10
STATS COLCARD 2 5 Z V
STATS COLCARD 3 25 1025 1001
STATS COLCARD 4 20 29 10
